RowNumber;CustomerId;Surname;CPF;CEP;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
1;15634602;Hargrave;8.59576E+11;7340706;619;France;Female;42;2;0;1;1;1;101348.88;1
2;15647311;Hill;8.8547E+11;4079857;608;Spain;Female;41;1;83807.86;1;0;1;112542.58;0
3;15619304;Onio;1.99276E+11;6040958;502;France;Female;42;8;159660.8;3;1;0;113931.57;1
4;15701354;Boni;7.35951E+11;5040244;699;France;Female;39;1;0;2;0;0;93826.63;0
5;15737888;Mitchell;4.26616E+11;8968490;850;Spain;Female;43;2;125510.82;1;1;1;79084.1;0
6;15574012;Chu;7.7967E+11;7575509;645;Spain;Male;44;8;113755.78;2;1;0;149756.71;1
7;15592531;Bartlett;2.65809E+11;3086148;822;France;Male;50;7;0;2;1;1;10062.8;0
8;15656148;Obinna;5.66366E+11;3966886;376;Germany;Female;29;4;115046.74;4;1;0;119346.88;1
9;15792365;He;6.7423E+11;7534475;501;France;Male;44;4;142051.07;2;0;1;74940.5;0
10;15592389;H?;8.52247E+11;7016080;684;France;Male;27;2;134603.88;1;1;1;71725.73;0
11;15767821;Bearce;2.03569E+11;2578318;528;France;Male;31;6;102016.72;2;0;0;80181.12;0
12;15737173;Andrews;9.78752E+11;8649176;497;Spain;Male;24;3;0;2;1;0;76390.01;0
13;15632264;Kay;8.58856E+11;5265579;476;France;Female;34;10;0;2;1;0;26260.98;0
14;15691483;Chin;1.88833E+11;6610899;549;France;Female;25;5;0;2;0;0;190857.79;0
15;15600882;Scott;8.40933E+11;2930681;635;Spain;Female;35;7;0;2;1;1;65951.65;0
16;15643966;Goforth;1.38158E+11;8368429;616;Germany;Male;45;3;143129.41;2;0;1;64327.26;0
17;15737452;Romeo;2.49288E+11;3627909;653;Germany;Male;58;1;132602.88;1;1;0;5097.67;1
18;15788218;Henderson;8.11321E+11;4241384;549;Spain;Female;24;9;0;2;1;1;14406.41;0
19;15661507;Muldrow;3.48415E+11;9180336;587;Spain;Male;45;6;0;1;0;0;158684.81;0
20;15568982;Hao;7.02572E+11;3266018;726;France;Female;24;6;0;2;1;1;54724.03;0
21;15577657;McDonald;7.24997E+11;4242407;732;France;Male;41;8;0;2;1;1;170886.17;0
22;15597945;Dellucci;2.86532E+11;9368672;636;Spain;Female;32;8;0;2;1;0;138555.46;0
23;15699309;Gerasimov;2.37357E+11;1628096;510;Spain;Female;38;4;0;1;1;0;118913.53;1
24;15725737;Mosman;7.60578E+11;1323308;669;France;Male;46;3;0;2;0;1;8487.75;0
25;15625047;Yen;8.73875E+11;4561800;846;France;Female;38;5;0;1;1;1;187616.16;0
26;15738191;Maclean;7.9284E+11;4584723;577;France;Male;25;3;0;2;0;1;124508.29;0
27;15736816;Young;6.78859E+11;7705130;756;Germany;Male;36;2;136815.64;1;1;1;170041.95;0
28;15700772;Nebechi;1.45115E+11;6101721;571;France;Male;44;9;0;2;0;0;38433.35;0
29;15728693;McWilliams;3.51345E+11;5524179;574;Germany;Female;43;3;141349.43;1;1;1;100187.43;0
30;15656300;Lucciano;1.84922E+11;6040439;411;France;Male;29;0;59697.17;2;1;1;53483.21;0
31;15589475;Azikiwe;1.13357E+11;9273908;591;Spain;Female;39;3;0;3;1;0;140469.38;1
32;15706552;Odinakachukwu;8.67124E+11;2120207;533;France;Male;36;7;85311.7;1;0;1;156731.91;0
33;15750181;Sanderson;7.61848E+11;3390435;553;Germany;Male;41;9;110112.54;2;0;0;81898.81;0
34;15659428;Maggard;3.27452E+11;1263886;520;Spain;Female;42;6;0;2;1;1;34410.55;0
35;15732963;Clements;8.05128E+11;3166996;722;Spain;Female;29;9;0;2;1;1;142033.07;0
36;15794171;Lombardo;8.5259E+11;2112840;475;France;Female;45;0;134264.04;1;1;0;27822.99;1
37;15788448;Watson;5.43404E+11;2314076;490;Spain;Male;31;3;145260.23;1;0;1;114066.77;0
38;15729599;Lorenzo;4.91958E+11;7022646;804;Spain;Male;33;7;76548.6;1;0;1;98453.45;0
39;15717426;Armstrong;4.48537E+11;1029369;850;France;Male;36;7;0;1;1;1;40812.9;0
40;15585768;Cameron;4.23109E+11;9297934;582;Germany;Male;41;6;70349.48;2;0;1;178074.04;0
41;15619360;Hsiao;4.83893E+11;7092024;472;Spain;Male;40;4;0;1;1;0;70154.22;0
42;15738148;Clarke;4.18544E+11;4625068;465;France;Female;51;8;122522.32;1;0;0;181297.65;1
43;15687946;Osborne;7.58954E+11;9052107;556;France;Female;61;2;117419.35;1;1;1;94153.83;0
44;15755196;Lavine;9.95711E+11;2394218;834;France;Female;49;2;131394.56;1;0;0;194365.76;1
45;15684171;Bianchi;5.02346E+11;2109542;660;Spain;Female;61;5;155931.11;1;1;1;158338.39;0
46;15754849;Tyler;4.51176E+11;4821213;776;Germany;Female;32;4;109421.13;2;1;1;126517.46;0
47;15602280;Martin;2.92163E+11;8996524;829;Germany;Female;27;9;112045.67;1;1;1;119708.21;1
48;15771573;Okagbue;3.52274E+11;6383933;637;Germany;Female;39;9;137843.8;1;1;1;117622.8;1
49;15766205;Yin;8.92948E+11;8764745;550;Germany;Male;38;2;103391.38;1;0;1;90878.13;0
50;15771873;Buccho;5.68852E+11;7277107;776;Germany;Female;37;2;103769.22;2;1;0;194099.12;0
51;15616550;Chidiebele;4.2215E+11;1375104;698;Germany;Male;44;10;116363.37;2;1;0;198059.16;0
52;15768193;Trevisani;6.42342E+11;4595882;585;Germany;Male;36;5;146050.97;2;0;0;86424.57;0
53;15683553;O'Brien;6.60485E+11;6978376;788;France;Female;33;5;0;2;0;0;116978.19;0
54;15702298;Parkhill;6.56782E+11;2714396;655;Germany;Male;41;8;125561.97;1;0;0;164040.94;1
55;15569590;Yoo;9.95697E+11;5756343;601;Germany;Male;42;1;98495.72;1;1;0;40014.76;1
56;15760861;Phillipps;9.03358E+11;5790796;619;France;Male;43;1;125211.92;1;1;1;113410.49;0
57;15630053;Tsao;7.59239E+11;5489794;656;France;Male;45;5;127864.4;1;1;0;87107.57;0
58;15647091;Endrizzi;4.00169E+11;1801401;725;Germany;Male;19;0;75888.2;1;0;0;45613.75;0
59;15623944;T'ien;8.91178E+11;3725774;511;Spain;Female;66;4;0;1;1;0;1643.11;1
60;15804771;Velazquez;3.31742E+11;9382646;614;France;Male;51;4;40685.92;1;1;1;46775.28;0
61;15651280;Hunter;3.5135E+11;7760783;742;Germany;Male;35;5;136857;1;0;0;84509.57;0
62;15773469;Clark;7.75605E+11;7629815;687;Germany;Female;27;9;152328.88;2;0;0;126494.82;0
63;15702014;Jeffrey;2.62284E+11;5030118;555;Spain;Male;33;1;56084.69;2;0;0;178798.13;0
64;15751208;Pirozzi;6.89963E+11;4446575;684;Spain;Male;56;8;78707.16;1;1;1;99398.36;0
65;15592461;Jackson;9.28047E+11;4525018;603;Germany;Male;26;4;109166.37;1;1;1;92840.67;0
66;15789484;Hammond;3.7058E+11;6074367;751;Germany;Female;36;6;169831.46;2;1;1;27758.36;0
